media,pdf,mp3
Appendix 01 - Introduction How to Use this Handbook,http://www.dw.de/popups/pdf/280234/introduction-pdf.pdf,
Appendix 02 - Contents ,http://www.dw.de/popups/pdf/21753272/contents-pdf.pdf,
Appendix 03 - Summary of grammar,http://www.dw.de/popups/pdf/21753300/summary-of-grammar-pdf.pdf,
Appendix 04 - Key to the exercises ,http://www.dw.de/popups/pdf/21753334/key-to-the-exercises-pdf.pdf,
Appendix 05 - Alphabetical list of vocabulary ,http://www.dw.de/popups/pdf/21753351/vocabulary-pdf.pdf,
Appendix 06 - Translations of the dialogues,http://www.dw.de/popups/pdf/280254/translations-of-the-dialogues-pdf.pdf,
Chapter 01 - Who are you?,http://www.dw.de/popups/pdf/245466/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion01_dwdownload.mp3
Chapter 02 - What can I do for you?,http://www.dw.de/popups/pdf/245467/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion02_dwdownload.mp3
Chapter 03 - It is very central,http://www.dw.de/popups/pdf/245468/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion03_dwdownload.mp3
Chapter 04 - Impossible!,http://www.dw.de/popups/pdf/245469/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion04_dwdownload.mp3
Chapter 05 - A bus can’t be charming!,http://www.dw.de/popups/pdf/245470/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion05_dwdownload.mp3
Chapter 06 - Perhaps she needs help?,http://www.dw.de/popups/pdf/245471/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion06_dwdownload.mp3
Chapter 07 - My plane leaves at nine oclock,http://www.dw.de/popups/pdf/245472/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion07_dwdownload.mp3
Chapter 08 - You shouldn t do that!,http://www.dw.de/popups/pdf/245474/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion08_dwdownload.mp3
Chapter 09 - Bananas for me!,http://www.dw.de/popups/pdf/245476/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion09_dwdownload.mp3
Chapter 10 - You always want to know everything,http://www.dw.de/popups/pdf/245478/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion10_dwdownload.mp3
Chapter 11 - How about going to the theatre?,http://www.dw.de/popups/pdf/245479/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion11_dwdownload.mp3
Chapter 12 - My studies are going okay,http://www.dw.de/popups/pdf/245480/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion12_dwdownload.mp3
Chapter 13 - Have you got it in black?,http://www.dw.de/popups/pdf/245482/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion13_dwdownload.mp3
Chapter 14 - Its said to be very interesting,http://www.dw.de/popups/pdf/245494/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion14_dwdownload.mp3
Chapter 15 - A man by the name of Mack the Knife,http://www.dw.de/popups/pdf/245502/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion15_dwdownload.mp3
Chapter 16 - Somebody heard that,http://www.dw.de/popups/pdf/245503/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion16_dwdownload.mp3
"Chapter 17 - Where does the name Aachen"" come from?""",http://www.dw.de/popups/pdf/245506/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion17_dwdownload.mp3
Chapter 18 - He told me that,http://www.dw.de/popups/pdf/245509/download-the-chapter-pdf.pdf,http://radio-download.dw.de/Events/dwelle/deutschkurse/deutschwarumnicht/serie2/eng/DWN_Englisch_Serie2_Lektion18_dwdownload.mp3
